date,open,high,low,close,adj_close,volume
3/25/2019,66.190002,66.190002,66.190002,66.190002,66.157059,0
3/26/2019,67.120003,67.120003,67.120003,67.120003,67.086594,0
3/27/2019,66.75,66.75,66.75,66.75,66.716782,0
3/28/2019,67.470001,67.470001,67.470001,67.470001,67.436424,0
3/29/2019,67.940002,67.940002,67.940002,67.940002,67.906181,0
4/1/2019,68.660004,68.660004,68.660004,68.660004,68.625824,0
4/2/2019,68.610001,68.610001,68.610001,68.610001,68.575851,0
4/3/2019,68.910004,68.910004,68.910004,68.910004,68.875702,0
4/4/2019,68.360001,68.360001,68.360001,68.360001,68.325974,0
4/5/2019,68.559998,68.559998,68.559998,68.559998,68.525871,0
4/8/2019,68.610001,68.610001,68.610001,68.610001,68.575851,0
4/9/2019,68.459999,68.459999,68.459999,68.459999,68.425919,0
4/10/2019,68.75,68.75,68.75,68.75,68.715775,0
4/11/2019,68.739998,68.739998,68.739998,68.739998,68.70578,0
4/12/2019,68.93,68.93,68.93,68.93,68.903709,0
4/15/2019,68.860001,68.860001,68.860001,68.860001,68.83374,0
4/16/2019,68.629997,68.629997,68.629997,68.629997,68.603828,0
4/17/2019,68.410004,68.410004,68.410004,68.410004,68.383911,0
4/18/2019,68.309998,68.309998,68.309998,68.309998,68.283951,0
4/22/2019,68.639999,68.639999,68.639999,68.639999,68.613823,0
4/23/2019,69.370003,69.370003,69.370003,69.370003,69.343552,0
4/24/2019,69.330002,69.330002,69.330002,69.330002,69.303558,0
4/25/2019,69.360001,69.360001,69.360001,69.360001,69.333549,0
4/26/2019,69.650002,69.650002,69.650002,69.650002,69.623436,0
4/29/2019,69.910004,69.910004,69.910004,69.910004,69.883339,0
4/30/2019,70.75,70.75,70.75,70.75,70.723015,0
5/1/2019,69.82,69.82,69.82,69.82,69.793373,0
5/2/2019,69.279999,69.279999,69.279999,69.279999,69.253578,0
5/3/2019,69.339996,69.339996,69.339996,69.339996,69.313553,0
5/6/2019,69.330002,69.330002,69.330002,69.330002,69.303558,0
5/7/2019,68.110001,68.110001,68.110001,68.110001,68.084023,0
5/8/2019,68.339996,68.339996,68.339996,68.339996,68.313927,0
5/9/2019,68.209999,68.209999,68.209999,68.209999,68.183983,0
5/10/2019,68.580002,68.580002,68.580002,68.580002,68.553841,0
5/13/2019,66.790001,66.790001,66.790001,66.790001,66.764526,0
5/14/2019,67.879997,67.879997,67.879997,67.879997,67.854111,0
5/15/2019,68.769997,68.769997,68.769997,68.769997,68.743767,0
5/16/2019,69.379997,69.379997,69.379997,69.379997,69.353539,0
5/17/2019,69.099998,69.099998,69.099998,69.099998,69.073647,0
5/20/2019,68.860001,68.860001,68.860001,68.860001,68.83374,0
5/21/2019,69.489998,69.489998,69.489998,69.489998,69.463493,0
5/22/2019,69.82,69.82,69.82,69.82,69.793373,0
5/23/2019,68.480003,68.480003,68.480003,68.480003,68.453888,0
5/24/2019,68.889999,68.889999,68.889999,68.889999,68.863731,0
5/28/2019,69.010002,69.010002,69.010002,69.010002,68.983681,0
5/29/2019,68.529999,68.529999,68.529999,68.529999,68.50386,0
5/30/2019,68.889999,68.889999,68.889999,68.889999,68.863731,0
5/31/2019,68.279999,68.279999,68.279999,68.279999,68.25396,0
6/3/2019,66.690002,66.690002,66.690002,66.690002,66.664566,0
6/4/2019,68.290001,68.290001,68.290001,68.290001,68.263954,0
6/5/2019,69.169998,69.169998,69.169998,69.169998,69.143616,0
6/6/2019,69.610001,69.610001,69.610001,69.610001,69.583458,0
6/7/2019,70.75,70.75,70.75,70.75,70.723015,0
6/10/2019,71.089996,71.089996,71.089996,71.089996,71.062889,0
6/11/2019,70.669998,70.669998,70.669998,70.669998,70.643044,0
6/12/2019,70.739998,70.739998,70.739998,70.739998,70.71302,0
6/13/2019,70.519997,70.519997,70.519997,70.519997,70.493103,0
6/14/2019,70.370003,70.370003,70.370003,70.370003,70.34317,0
6/17/2019,70.470001,70.470001,70.470001,70.470001,70.443123,0
6/18/2019,70.690002,70.690002,70.690002,70.690002,70.663048,0
6/19/2019,71.080002,71.080002,71.080002,71.080002,71.052895,0
6/20/2019,72.080002,72.080002,72.080002,72.080002,72.052513,0
6/21/2019,71.599998,71.599998,71.599998,71.599998,71.572693,0
6/24/2019,71.489998,71.489998,71.489998,71.489998,71.46273,0
6/25/2019,70.709999,70.709999,70.709999,70.709999,70.683029,0
6/26/2019,70.589996,70.589996,70.589996,70.589996,70.563072,0
6/27/2019,70.839996,70.839996,70.839996,70.839996,70.812981,0
6/28/2019,71.43,71.43,71.43,71.43,71.402763,0
7/1/2019,72.129997,72.129997,72.129997,72.129997,72.102486,0
7/2/2019,72.550003,72.550003,72.550003,72.550003,72.522331,0
7/3/2019,73.120003,73.120003,73.120003,73.120003,73.092117,0
7/5/2019,73.190002,73.190002,73.190002,73.190002,73.162086,0
7/8/2019,72.889999,72.889999,72.889999,72.889999,72.862206,0
7/9/2019,73.32,73.32,73.32,73.32,73.292038,0
7/10/2019,73.610001,73.610001,73.610001,73.610001,73.581924,0
7/11/2019,74.07,74.07,74.07,74.07,74.041748,0
7/12/2019,74.480003,74.480003,74.480003,74.480003,74.451591,0
7/15/2019,74.599998,74.599998,74.599998,74.599998,74.571548,0
7/16/2019,74.139999,74.139999,74.139999,74.139999,74.111725,0
7/17/2019,74.019997,74.019997,74.019997,74.019997,73.991768,0
7/18/2019,74.739998,74.739998,74.739998,74.739998,74.711494,0
7/19/2019,74.099998,74.099998,74.099998,74.099998,74.071739,0
7/22/2019,74.5,74.5,74.5,74.5,74.471588,0
7/23/2019,74.760002,74.760002,74.760002,74.760002,74.731491,0
7/24/2019,75.07,75.07,75.07,75.07,75.041367,0
7/25/2019,74.809998,74.809998,74.809998,74.809998,74.781464,0
7/26/2019,75.910004,75.910004,75.910004,75.910004,75.88105,0
7/29/2019,75.709999,75.709999,75.709999,75.709999,75.681122,0
7/30/2019,74.93,74.93,74.93,74.93,74.901421,0
7/31/2019,74.110001,74.110001,74.110001,74.110001,74.081734,0
8/1/2019,74.199997,74.199997,74.199997,74.199997,74.1717,0
8/2/2019,72.980003,72.980003,72.980003,72.980003,72.952171,0
8/5/2019,70.080002,70.080002,70.080002,70.080002,70.053276,0
8/6/2019,71.290001,71.290001,71.290001,71.290001,71.26281,0
8/7/2019,72.269997,72.269997,72.269997,72.269997,72.242432,0
8/8/2019,74.019997,74.019997,74.019997,74.019997,73.991768,0
8/9/2019,72.809998,72.809998,72.809998,72.809998,72.782234,0
8/12/2019,71.610001,71.610001,71.610001,71.610001,71.582687,0
8/13/2019,72.620003,72.620003,72.620003,72.620003,72.592308,0
8/14/2019,70.589996,70.589996,70.589996,70.589996,70.563072,0
8/15/2019,71.650002,71.650002,71.650002,71.650002,71.622673,0
8/16/2019,72.550003,72.550003,72.550003,72.550003,72.522331,0
8/19/2019,73.199997,73.199997,73.199997,73.199997,73.172081,0
8/20/2019,72.959999,72.959999,72.959999,72.959999,72.932175,0
8/21/2019,73.779999,73.779999,73.779999,73.779999,73.751862,0
8/22/2019,73.57,73.57,73.57,73.57,73.541939,0
8/23/2019,71.839996,71.839996,71.839996,71.839996,71.812599,0
8/26/2019,72.5,72.5,72.5,72.5,72.472351,0
8/27/2019,72.629997,72.629997,72.629997,72.629997,72.602295,0
8/28/2019,72.709999,72.709999,72.709999,72.709999,72.682266,0
8/29/2019,73.529999,73.529999,73.529999,73.529999,73.501953,0
8/30/2019,73.459999,73.459999,73.459999,73.459999,73.431984,0
9/3/2019,72.879997,72.879997,72.879997,72.879997,72.852203,0
9/4/2019,73.879997,73.879997,73.879997,73.879997,73.851822,0
9/5/2019,75.220001,75.220001,75.220001,75.220001,75.191315,0
9/6/2019,75.080002,75.080002,75.080002,75.080002,75.051369,0
9/9/2019,73.629997,73.629997,73.629997,73.629997,73.601921,0
9/10/2019,71.940002,71.940002,71.940002,71.940002,71.91256,0
9/11/2019,71.860001,71.860001,71.860001,71.860001,71.832588,0
9/12/2019,72.690002,72.690002,72.690002,72.690002,72.662277,0
9/13/2019,72.32,72.32,72.32,72.32,72.292419,0
9/16/2019,72.290001,72.290001,72.290001,72.290001,72.262428,0
9/17/2019,72.730003,72.730003,72.730003,72.730003,72.702271,0
9/18/2019,72.32,72.32,72.32,72.32,72.292419,0
9/19/2019,72.519997,72.519997,72.519997,72.519997,72.49234,0
9/20/2019,71.760002,71.760002,71.760002,71.760002,71.732635,0
9/23/2019,71.709999,71.709999,71.709999,71.709999,71.682648,0
9/24/2019,71.260002,71.260002,71.260002,71.260002,71.232826,0
9/25/2019,71.690002,71.690002,71.690002,71.690002,71.662659,0
9/26/2019,71.919998,71.919998,71.919998,71.919998,71.89257,0
9/27/2019,70.910004,70.910004,70.910004,70.910004,70.882957,0
9/30/2019,71.330002,71.330002,71.330002,71.330002,71.302803,0
10/1/2019,70.959999,70.959999,70.959999,70.959999,70.93293,0
10/2/2019,69.559998,69.559998,69.559998,69.559998,69.533463,0
10/3/2019,70.32,70.32,70.32,70.32,70.293182,0
10/4/2019,71.470001,71.470001,71.470001,71.470001,71.442741,0
10/7/2019,71.040001,71.040001,71.040001,71.040001,71.012901,0
10/8/2019,69.800003,69.800003,69.800003,69.800003,69.773376,0
10/9/2019,70.709999,70.709999,70.709999,70.709999,70.683029,0
10/10/2019,71.019997,71.019997,71.019997,71.019997,70.992912,0
10/11/2019,71.809998,71.809998,71.809998,71.809998,71.782608,0
10/14/2019,71.830002,71.830002,71.830002,71.830002,71.802612,0
10/15/2019,72.470001,72.470001,72.470001,72.470001,72.44236,0
10/16/2019,72.199997,72.199997,72.199997,72.199997,72.172462,0
10/17/2019,71.910004,71.910004,71.910004,71.910004,71.882584,0
10/18/2019,70.989998,70.989998,70.989998,70.989998,70.962921,0
10/21/2019,71.150002,71.150002,71.150002,71.150002,71.122864,0
10/22/2019,69.050003,69.050003,69.050003,69.050003,69.023674,0
10/23/2019,69.279999,69.279999,69.279999,69.279999,69.253578,0
10/24/2019,70.800003,70.800003,70.800003,70.800003,70.773003,0
10/25/2019,71.050003,71.050003,71.050003,71.050003,71.022903,0
10/28/2019,71.629997,71.629997,71.629997,71.629997,71.602676,0
10/29/2019,71.529999,71.529999,71.529999,71.529999,71.502716,0
10/30/2019,72.120003,72.120003,72.120003,72.120003,72.092499,0
10/31/2019,71.870003,71.870003,71.870003,71.870003,71.84259,0
11/1/2019,72.620003,72.620003,72.620003,72.620003,72.592308,0
11/4/2019,72.040001,72.040001,72.040001,72.040001,72.012527,0
11/5/2019,71.190002,71.190002,71.190002,71.190002,71.162857,0
11/6/2019,71.290001,71.290001,71.290001,71.290001,71.26281,0
11/7/2019,72.279999,72.279999,72.279999,72.279999,72.252434,0
11/8/2019,72.330002,72.330002,72.330002,72.330002,72.302422,0
11/11/2019,72.660004,72.660004,72.660004,72.660004,72.632294,0
11/12/2019,72.940002,72.940002,72.940002,72.940002,72.912186,0
11/13/2019,73.169998,73.169998,73.169998,73.169998,73.14209,0
11/14/2019,73.849998,73.849998,73.849998,73.849998,73.821831,0
11/15/2019,74.110001,74.110001,74.110001,74.110001,74.081734,0
11/18/2019,74.260002,74.260002,74.260002,74.260002,74.231682,0
